"","spScName"
"337","Apalis alticola"
"338","Apalis binotata"
"339","Apalis cinerea"
"340","Apalis flavida"
"341","Apalis goslingi"
"342","Apalis jacksoni"
"343","Apalis rufogularis"
"344","Apaloderma narina"
"345","Apaloderma vittatum"
"346","Aparallactus capensis"
"347","Aphanocalyx libellula"
"348","Aphanocalyx microphyllus"
"349","Aphanopus intermedius"
"350","Aphyosemion australe"
"351","Aphyosemion escherichi"
"352","Apletodon pellegrini"
"353","Aplocheilichthys macrurus"
"354","Aplocheilichthys mediolateralis"
"355","Aplocheilichthys nigrolateralis"
"356","Aplocheilichthys spilauchen"
"357","Apogon imberbis"
"358","Aponogeton rehmannii"
"359","Appias epaphia"
"360","Appias sabina"
"361","Apsilus fuscus"
"362","Aptandra zenkeri"
"363","Apus affinis"
"364","Apus apus"
"365","Apus barbatus"
"366","Apus bradfieldi"
"367","Apus caffer"
"368","Apus horus"
"369","Aquila africana"
"370","Aquila nipalensis"
"371","Aquila rapax"
"372","Aquila spilogaster"
"373","Aquila verreauxii"
"374","Arctocephalus pusillus"
"375","Arctocephalus pusillus ssp. pusillus"
"376","Arctocephalus tropicalis"
"377","Arctozenus risso"
"378","Ardea alba"
"379","Ardea brachyrhyncha"
"380","Ardea cinerea"
"381","Ardea goliath"
"382","Ardea melanocephala"
"383","Ardea purpurea"
"384","Ardenna gravis"
"385","Ardenna grisea"
"386","Ardeola idae"
"387","Ardeola ralloides"
"388","Ardeola rufiventris"
"389","Ardeotis kori"
"390","Arenaria interpres"
"391","Argocoffeopsis eketensis"
"392","Argomuellera macrophylla"
"393","Argonauta argo"
"394","Argonauta hians"
"395","Argyropelecus aculeatus"
"396","Argyropelecus gigas"
"397","Argyropelecus hemigymnus"
"398","Argyropelecus olfersii"
"399","Argyropelecus sladeni"
"400","Argyrosomus coronus"
"401","Argyrosomus regius"
"402","Ariomma bondi"
"403","Ariomma melanum"
"404","Ariosoma balearicum"
"405","Aristogeitonia limoniifolia"
"406","Aristostomias lunifer"
"407","Aristostomias xenostoma"
"408","Arnoglossus capensis"
"409","Arnoglossus imperialis"
"410","Arnoglossus laterna"
"411","Artabotrys monteiroae"
"412","Arthroleptis carquejai"
"413","Arthroleptis lameerei"
"414","Arthroleptis stenodactylus"
"415","Arthroleptis xenochirus"
"416","Arundinella nepalensis"
"417","Ascolepis capensis"
"418","Ascolepis elata"
"419","Ascolepis lineariglumis"
"420","Asio capensis"
"421","Aspatharia subreniformis"
"422","Aspidelaps scutatus"
"423","Aspidotis schimperi"
"424","Aspilia helianthoides"
"425","Asplenium formosum"
"426","Asquamiceps caeruleus"
"427","Asquamiceps hjorti"
"428","Astronesthes atlanticus"
"429","Astronesthes barbatus"
"430","Astronesthes caulophorus"
"431","Astronesthes decoratus"
"432","Astronesthes gemmifer"
"433","Astronesthes haplophos"
"434","Astronesthes macropogon"
"435","Astronesthes niger"
"436","Astronesthes richardsoni"
"437","Astronesthes zharovi"
"438","Atelerix frontalis"
"439","Atheris squamigera"
"440","Atilax paludinosus"
"441","Atimastillas flavigula"
"442","Atopochilus macrocephalus"
"443","Atractaspis bibronii"
"444","Atractaspis congica"
"445","Atractaspis irregularis"
"446","Atractoscion macrolepis"
"447","Atya scabra"
"448","Aulopus cadenati"
"449","Aulostomus strigosus"
"450","Austrorossia mastigophora"
"451","Autranella congolensis"
"452","Auxis rochei"
"453","Auxis thazard"
"454","Aviceda cuculoides"
"455","Avicennia germinans"
"456","Avocettina infans"
"457","Awaous lateristriga"
"458","Axiocerses amanga"
"459","Axiocerses amanga ssp. amanga"
"460","Axiocerses tjoane"
"461","Axiocerses tjoane ssp. tjoane"
"462","Azanus isis"
"463","Azanus jesous"
"464","Azanus mirza"
"465","Azanus moriqua"
"466","Azanus natalensis"
"467","Azanus ubaldus"
