"","Species"
"291","Pristis pristis"
"292","Procellaria conspicillata"
"293","Pseudocalyptomena graueri"
"294","Pseudocarcharias kamoharai"
"295","Psittacus erithacus"
"296","Pternistis camerunensis"
"297","Pternistis swierstrai"
"298","Ptilopachus nahani"
"299","Raja undulata"
"300","Rhabdosargus globiceps"
"301","Rhincodon typus"
"302","Rhinobatos albomaculatus"
"303","Rhinobatos irvinei"
"304","Rhinobatos rhinobatos"
"305","Rhinolophus hillorum"
"306","Rhinolophus ruwenzorii"
"307","Rhinoptera marginata"
"308","Rhynchobatus luebberti"
"309","Rhynchocyon cirnei"
"310","Rostroraja alba"
"311","Ruwenzorisorex suncoides"
"312","Rynchops flavirostris"
"313","Sagittarius serpentarius"
"314","Scleroptila streptophora"
"315","Scotonycteris ophiodon"
"316","Sheppardia gabela"
"317","Smutsia gigantea"
"318","Smutsia temminckii"
"319","Sousa teuszii"
"320","Spheniscus demersus"
"321","Sphyrna lewini"
"322","Sphyrna mokarran"
"323","Sphyrna zygaena"
"324","Squatina oculata"
"325","Stephanoaetus coronatus"
"326","Sternula balaenarum"
"327","Sylvisorex camerunensis"
"328","Sylvisorex isabellae"
"329","Sylvisorex lunaris"
"330","Sylvisorex morio"
"331","Sylvisorex vulcanorum"
"332","Tauraco bannermani"
"333","Terathopius ecaudatus"
"334","Terpsiphone bedfordi"
"335","Tetraodon pustulatus"
"336","Thalassarche cauta"
"337","Thalassarche chlororhynchos"
"338","Thalassarche chrysostoma"
"339","Thalassarche melanophris"
"340","Thalassarche steadi"
"341","Thamnomys kempi"
"342","Thamnomys venustus"
"343","Thunnus alalunga"
"344","Thunnus albacares"
"345","Thunnus obesus"
"346","Torgos tracheliotos"
"347","Tragelaphus eurycerus"
"348","Triakis megalopterus"
"349","Trichechus senegalensis"
"350","Trigonoceps occipitalis"
"351","Trioceros feae"
"352","Trioceros montium"
"353","Vanellus gregarius"
"354","Werneria bambutensis"
"355","Werneria iboundji"
"356","Werneria mertensiana"
"357","Werneria preussi"
"358","Werneria submontana"
"359","Werneria tandyi"
"360","Wolterstorffina chirioi"
"361","Wolterstorffina mirei"
"362","Wolterstorffina parvipalmata"
"363","Xenopus amieti"
"364","Xenopus itombwensis"
"365","Xenopus longipes"
"366","Zosterops griseovirescens"
