"","spScName"
"548","Cephalophus rufilatus"
"549","Cephalophus silvicultor"
"550","Cepola pauciradiata"
"551","Ceratias holboelli"
"552","Ceratias uranoscopus"
"553","Ceratophyllum demersum"
"554","Ceratoscopelus townsendi"
"555","Ceratoscopelus warmingii"
"556","Cercocebus torquatus"
"557","Cercopithecus erythrogaster"
"558","Cercopithecus erythrogaster ssp. erythrogaster"
"559","Cercopithecus mona"
"560","Cercotrichas galactotes"
"561","Ceriagrion citrinum"
"562","Ceriagrion corallinum"
"563","Ceriagrion glabrum"
"564","Ceriagrion rubellocerinum"
"565","Ceriagrion suave"
"566","Ceropegia ledermannii"
"567","Ceropegia porphyrotricha"
"568","Ceryle rudis"
"569","Cetomimus gillii"
"570","Cetonurus globiceps"
"571","Cetorhinus maximus"
"572","Cetostoma regani"
"573","Ceuthmochares aereus"
"574","Chaenophryne draco"
"575","Chaenophryne ramifera"
"576","Chaerephon ansorgei"
"577","Chaerephon major"
"578","Chaerephon pumilus"
"579","Chaetachme aristata"
"580","Chaetodipterus lippei"
"581","Chaetodon hoefleri"
"582","Chaetodon robustus"
"583","Chalcides thierryi"
"584","Chalcomitra adelberti"
"585","Chalcomitra fuliginosa"
"586","Chalcomitra senegalensis"
"587","Chalcostephia flavifrons"
"588","Chamaecrista absus"
"589","Chamaecrista mimosoides"
"590","Chamaeleo gracilis"
"591","Chamaeleo necasi"
"592","Chamaeleo senegalensis"
"593","Chambardia rubens"
"594","Chambardia wahlbergi"
"595","Charadrius dubius"
"596","Charadrius forbesi"
"597","Charadrius hiaticula"
"598","Charadrius marginatus"
"599","Charadrius pecuarius"
"600","Charaxes achaemenes"
"601","Charaxes brutus"
"602","Charaxes candiope"
"603","Charaxes castor"
"604","Charaxes imperialis"
"605","Charaxes protoclea"
"606","Charaxes varanes"
"607","Chara zeylanica"
"608","Chascanopsetta lugubris"
"609","Chauliodus schmidti"
"610","Chauliodus sloani"
"611","Chaunax suttkusi"
"612","Cheilopogon cyanopterus"
"613","Cheilopogon furcatus"
"614","Cheilopogon melanurus"
"615","Cheilopogon milleri"
"616","Cheilopogon nigricans"
"617","Chelaethiops bibie"
"618","Chelictinia riocourii"
"619","Chelidonichthys gabonensis"
"620","Chelidonichthys lastoviza"
"621","Chelon dumerili"
"622","Chelon saliens"
"623","Chiasmodon niger"
"624","Chiasmodon pluriradiatus"
"625","Chilades trochylus"
"626","Chilomycterus reticulatus"
"627","Chilomycterus spinosus"
"628","Chilomycterus spinosus ssp. mauretanicus"
"629","Chlidonias hybrida"
"630","Chlidonias leucopterus"
"631","Chlidonias niger"
"632","Chlopsis olokun"
"633","Chloris robusta"
"634","Chlorocebus tantalus"
"635","Chlorocebus tantalus ssp. tantalus"
"636","Chlorocichla simplex"
"637","Chlorocypha curta"
"638","Chlorocypha pyriformosa"
"639","Chlorocypha radix"
"640","Chlorocypha rubida"
"641","Chlorocypha selysi"
"642","Chlorophoneus sulfureopectus"
"643","Chlorophthalmus agassizi"
"644","Chlorophthalmus atlanticus"
"645","Chlorophytum cameronii"
"646","Chlorophytum limosum"
"647","Chloroscombrus chrysurus"
"648","Christiana africana"
"649","Chromidotilapia guntheri"
"650","Chromis chromis"
"651","Chromis limbata"
"652","Chrozophora senegalensis"
"653","Chrysichthys auratus"
"654","Chrysichthys nigrodigitatus"
"655","Chrysobalanus icaco"
"656","Chrysococcyx caprius"
"657","Chrysococcyx cupreus"
"658","Chrysococcyx klaas"
"659","Chrysopogon nigritanus"
"660","Chytranthus macrobotrys"
"661","Chytranthus talbotii"
"662","Ciconia abdimii"
"663","Ciconia ciconia"
"664","Ciconia microscelis"
"665","Ciconia nigra"
"666","Cinnyricinclus leucogaster"
"667","Cinnyris chloropygius"
"668","Cinnyris coccinigastrus"
"669","Cinnyris cupreus"
"670","Cinnyris minullus"
"671","Cinnyris pulchellus"
"672","Cinnyris superbus"
